url_path,views_total,views_unique
/DesirePathGames/Slay-The-Robot,119,76
/DesirePathGames/Slay-The-Robot/wiki,15,13
/DesirePathGames/Slay-The-Robot/tree/main/scripts,7,6
/DesirePathGames/Slay-The-Robot/releases/tag/major,6,6
/DesirePathGames/Slay-The-Robot/tree/main/scenes/combatants,5,2
/DesirePathGames/Slay-The-Robot/tree/main/scripts/actions/card_actions/cardset_actions,5,1
/DesirePathGames/Slay-The-Robot/fork,4,4
/DesirePathGames/Slay-The-Robot/tree/main/scripts/actions,4,4
/DesirePathGames/Slay-The-Robot/wiki/Animations,4,4
/DesirePathGames/Slay-The-Robot/commits/main,4,3
