time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-25 00:00:00+00:00,5,5,18,14
2026-05-26 00:00:00+00:00,4,2,14,12
2026-05-27 00:00:00+00:00,9,6,22,8
2026-05-28 00:00:00+00:00,10,10,33,11
2026-05-29 00:00:00+00:00,7,6,14,9
2026-05-30 00:00:00+00:00,4,1,18,13
2026-05-31 00:00:00+00:00,3,3,15,8
2026-06-01 00:00:00+00:00,4,3,34,8
2026-06-02 00:00:00+00:00,2,2,17,8
2026-06-03 00:00:00+00:00,8,8,84,9
2026-06-04 00:00:00+00:00,2,2,40,6
2026-06-05 00:00:00+00:00,4,3,21,10
2026-06-06 00:00:00+00:00,6,4,25,10
2026-06-07 00:00:00+00:00,2,2,35,13
2026-06-08 00:00:00+00:00,20,15,20,11
2026-06-09 00:00:00+00:00,17,8,60,12
2026-06-10 00:00:00+00:00,27,12,286,127
2026-06-11 00:00:00+00:00,23,11,220,65
2026-06-12 00:00:00+00:00,50,17,59,17
2026-06-13 00:00:00+00:00,24,14,35,19
2026-06-14 00:00:00+00:00,23,11,42,15
2026-06-15 00:00:00+00:00,23,11,80,17
2026-06-16 00:00:00+00:00,26,9,27,12
2026-06-17 00:00:00+00:00,21,8,5,5
2026-06-18 00:00:00+00:00,22,9,77,8
2026-06-19 00:00:00+00:00,15,9,136,12
2026-06-20 00:00:00+00:00,25,9,53,7
2026-06-21 00:00:00+00:00,14,8,46,11
2026-06-22 00:00:00+00:00,4,4,14,7
2026-06-23 00:00:00+00:00,20,9,31,15
2026-06-24 00:00:00+00:00,11,5,40,14
2026-06-25 00:00:00+00:00,15,9,30,9
2026-06-26 00:00:00+00:00,17,7,19,9
2026-06-27 00:00:00+00:00,29,12,96,10
2026-06-28 00:00:00+00:00,16,11,15,5
2026-06-29 00:00:00+00:00,19,9,21,13
2026-06-30 00:00:00+00:00,11,5,30,12
2026-07-01 00:00:00+00:00,12,10,15,7
2026-07-02 00:00:00+00:00,24,11,11,8
2026-07-03 00:00:00+00:00,10,4,44,14
2026-07-04 00:00:00+00:00,28,15,41,11
2026-07-05 00:00:00+00:00,30,11,32,10
2026-07-06 00:00:00+00:00,27,13,76,8
2026-07-07 00:00:00+00:00,15,8,16,8
2026-07-08 00:00:00+00:00,16,6,12,10
2026-07-09 00:00:00+00:00,4,4,18,7
2026-07-10 00:00:00+00:00,16,7,17,7
2026-07-11 00:00:00+00:00,30,11,13,8
2026-07-12 00:00:00+00:00,13,7,36,11
2026-07-13 00:00:00+00:00,33,11,9,6
2026-07-14 00:00:00+00:00,20,9,12,5
2026-07-15 00:00:00+00:00,27,14,61,12
2026-07-16 00:00:00+00:00,23,12,32,7
2026-07-17 00:00:00+00:00,12,7,39,7
2026-07-18 00:00:00+00:00,27,16,23,4
2026-07-19 00:00:00+00:00,10,6,24,8
2026-07-20 00:00:00+00:00,16,7,6,6
2026-07-21 00:00:00+00:00,24,14,18,8
2026-07-22 00:00:00+00:00,24,12,13,8
2026-07-23 00:00:00+00:00,3,3,20,6
2026-07-24 00:00:00+00:00,38,8,11,5
2026-07-25 00:00:00+00:00,20,11,16,10
2026-07-26 00:00:00+00:00,6,6,22,11
2026-07-27 00:00:00+00:00,26,10,29,6
2026-07-28 00:00:00+00:00,15,8,18,11
2026-07-29 00:00:00+00:00,7,6,23,10
2026-07-30 00:00:00+00:00,2,2,33,16
2026-07-31 00:00:00+00:00,6,4,9,6
2026-08-01 00:00:00+00:00,16,10,31,11
2026-08-02 00:00:00+00:00,7,6,15,11
2026-08-03 00:00:00+00:00,20,9,50,13
2026-08-04 00:00:00+00:00,12,5,16,12
2026-08-05 00:00:00+00:00,12,9,30,10
2026-08-06 00:00:00+00:00,3,3,32,11
2026-08-07 00:00:00+00:00,26,14,25,12
2026-08-08 00:00:00+00:00,6,6,38,7
2026-08-09 00:00:00+00:00,11,11,32,9
2026-08-10 00:00:00+00:00,9,9,42,12
2026-08-11 00:00:00+00:00,17,10,34,12
2026-08-12 00:00:00+00:00,32,15,29,15
2026-08-13 00:00:00+00:00,21,15,16,11
2026-08-14 00:00:00+00:00,9,9,51,14
2026-08-15 00:00:00+00:00,18,5,40,15
2026-08-16 00:00:00+00:00,14,7,52,15
2026-08-17 00:00:00+00:00,15,8,36,18
2026-08-18 00:00:00+00:00,1521,7,19,13
2026-08-19 00:00:00+00:00,6,6,52,20
2026-08-20 00:00:00+00:00,34,14,26,16
2026-08-21 00:00:00+00:00,32,16,42,10
2026-08-22 00:00:00+00:00,16,11,12,9
2026-08-23 00:00:00+00:00,16,13,17,10
2026-08-24 00:00:00+00:00,15,13,72,14
2026-08-25 00:00:00+00:00,11,8,45,20
2026-08-26 00:00:00+00:00,16,8,115,23
2026-08-27 00:00:00+00:00,20,8,71,13
2026-08-28 00:00:00+00:00,17,12,81,18
2026-08-29 00:00:00+00:00,27,19,20,15
2026-08-30 00:00:00+00:00,18,12,27,12
2026-08-31 00:00:00+00:00,16,14,60,15
2026-09-01 00:00:00+00:00,15,13,49,20
2026-09-02 00:00:00+00:00,7,7,82,16
